user_id,customer_name,estimated_age,age_group,top_genre,avg_rating,total_ratings,genre_encoded,cluster,segment
1,Ben Davis,13,Teens (13-17),Action,4.37,232,0,0,Kids (5-12)
2,James Gray,35,Adults (35+),Drama,3.95,29,7,3,Adults (35+)
3,Dan Young,26,Young Adults (18-35),Drama,2.44,39,7,1,Young Adults (18-35)
4,Steve Clark,37,Adults (35+),Drama,3.56,216,7,3,Adults (35+)
5,Eric Davis,37,Adults (35+),Drama,3.64,44,7,3,Adults (35+)
6,Leo Gray,34,Adults (35+),Drama,3.49,314,7,2,Teens (13-17)
7,Ruby Brown,21,Young Adults (18-35),Action,3.23,152,0,1,Young Adults (18-35)
8,Rose Martin,51,Adults (35+),Comedy,3.57,47,4,1,Young Adults (18-35)
9,Jack Smith,58,Adults (35+),Drama,3.26,46,7,1,Young Adults (18-35)
10,Joe Hall,47,Adults (35+),Comedy,3.28,140,4,1,Young Adults (18-35)
11,Steve Green,20,Young Adults (18-35),Action,3.78,64,0,0,Kids (5-12)
12,June Smith,48,Adults (35+),Romance,4.39,32,14,3,Adults (35+)
13,Nora Hall,31,Young Adults (18-35),Drama,3.65,31,7,3,Adults (35+)
14,Nick Bell,31,Adults (35+),Drama,3.4,48,7,1,Young Adults (18-35)
15,Adam Adams,18,Young Adults (18-35),Action,3.45,135,0,0,Kids (5-12)
16,Sara Young,37,Adults (35+),Drama,3.72,98,7,3,Adults (35+)
17,Lily Baker,24,Young Adults (18-35),Drama,4.21,105,7,0,Kids (5-12)
18,Dan Ross,25,Young Adults (18-35),Drama,3.73,502,7,2,Teens (13-17)
19,John Reed,46,Adults (35+),Comedy,2.61,703,4,2,Teens (13-17)
20,Tom Wood,17,Teens (13-17),Children,3.59,242,3,0,Kids (5-12)
21,Lisa Moore,13,Teens (13-17),Action,3.26,443,0,2,Teens (13-17)
22,Dan Clark,52,Adults (35+),Drama,2.57,119,7,1,Young Adults (18-35)
23,Scott Reed,41,Adults (35+),Drama,3.65,121,7,3,Adults (35+)
24,Emily Davis,31,Young Adults (18-35),Action,3.65,110,0,1,Young Adults (18-35)
25,Joe White,25,Young Adults (18-35),Action,4.81,26,0,0,Kids (5-12)
26,Mike Taylor,32,Young Adults (18-35),Thriller,3.24,21,15,3,Adults (35+)
27,Amy Cook,17,Teens (13-17),Adventure,3.55,135,1,0,Kids (5-12)
28,Rob Ross,43,Adults (35+),Drama,3.02,570,7,2,Teens (13-17)
29,Jack Gray,60,Adults (35+),Drama,4.14,81,7,3,Adults (35+)
30,Grace Adams,13,Teens (13-17),Action,4.74,34,0,0,Kids (5-12)
31,Mark Fox,54,Adults (35+),Comedy,3.92,50,4,3,Adults (35+)
32,Alice Brown,55,Adults (35+),Drama,3.75,102,7,3,Adults (35+)
33,Nora Hill,40,Adults (35+),Drama,3.79,156,7,3,Adults (35+)
34,Ben Cook,31,Young Adults (18-35),Action,3.42,86,0,1,Young Adults (18-35)
35,Anna Baker,40,Adults (35+),Comedy,4.09,23,4,3,Adults (35+)
36,Sam Wood,43,Adults (35+),Drama,2.63,60,7,1,Young Adults (18-35)
37,Josh Jones,22,Young Adults (18-35),Thriller,4.14,21,15,3,Adults (35+)
38,Max Young,36,Adults (35+),Comedy,3.22,78,4,1,Young Adults (18-35)
39,Sean Hill,15,Teens (13-17),Drama,4.0,100,7,0,Kids (5-12)
40,Joe Price,33,Adults (35+),Drama,3.77,103,7,3,Adults (35+)
41,Steve Price,37,Adults (35+),Drama,3.25,217,7,1,Young Adults (18-35)
